iter	Passed	Remaining
0	222	222330
1	286	143040
2	345	114777
3	407	101346
4	469	93475
5	521	86427
6	570	80975
7	620	76976
8	671	73951
9	739	73257
10	817	73479
11	922	75939
12	1024	77820
13	1082	76209
14	1138	74774
15	1202	73932
16	1254	72560
17	1300	70945
18	1350	69723
19	1397	68482
20	1451	67669
21	1499	66656
22	1547	65752
23	1609	65436
24	1671	65182
25	1745	65390
26	1794	64653
27	1843	64003
28	1897	63527
29	1981	64055
30	2046	63976
31	2152	65101
32	2220	65078
33	2272	64560
34	2355	64956
35	2402	64345
36	2455	63907
37	2504	63398
38	2544	62689
39	2584	62032
40	2642	61804
41	2699	61579
42	2795	62225
43	2875	62485
44	2926	62108
45	2975	61707
46	3034	61522
47	3080	61101
48	3140	60956
49	3191	60629
50	3246	60415
51	3341	60919
52	3413	60999
53	3488	61108
54	3554	61078
55	3604	60766
56	3647	60347
57	3688	59904
58	3734	59561
59	3797	59493
60	3857	59373
61	3917	59265
62	3983	59245
63	4046	59183
64	4110	59125
65	4158	58845
66	4214	58683
67	4271	58544
68	4330	58424
69	4421	58739
70	4472	58521
71	4528	58364
72	4578	58139
73	4617	57785
74	4658	57450
75	4698	57124
76	4747	56907
77	4788	56606
78	4836	56387
79	4877	56090
80	4917	55796
81	4957	55494
82	4998	55226
83	5041	54973
84	5083	54717
85	5128	54506
86	5185	54419
87	5233	54242
88	5275	54004
89	5314	53730
90	5364	53585
91	5404	53343
92	5449	53144
93	5492	52942
94	5529	52671
95	5600	52738
96	5681	52891
97	5741	52849
98	5785	52658
99	5830	52478
100	5878	52327
101	5934	52243
102	5973	52018
103	6013	51809
104	6054	51608
105	6110	51534
106	6152	51347
107	6197	51184
108	6254	51129
109	6308	51041
110	6360	50939
111	6405	50785
112	6451	50637
113	6489	50436
114	6531	50265
115	6580	50147
116	6622	49977
117	6673	49881
118	6713	49704
119	6760	49575
120	6839	49686
121	6895	49627
122	6937	49466
123	6984	49344
124	7034	49240
125	7087	49163
126	7133	49034
127	7175	48883
128	7216	48725
129	7261	48597
130	7310	48497
131	7362	48410
132	7415	48339
133	7459	48205
134	7520	48186
135	7564	48059
136	7613	47956
137	7662	47862
138	7713	47782
139	7760	47674
140	7801	47531
141	7851	47441
142	7900	47349
143	7952	47273
144	7992	47125
145	8037	47011
146	8083	46907
147	8124	46771
148	8169	46657
149	8208	46517
150	8249	46383
151	8287	46236
152	8332	46129
153	8374	46006
154	8418	45893
155	8459	45769
156	8501	45649
157	8545	45539
158	8592	45448
159	8636	45339
160	8679	45231
161	8719	45105
162	8770	45036
163	8818	44951
164	8857	44825
165	8903	44729
166	8944	44616
167	8987	44508
168	9043	44469
169	9095	44408
170	9142	44324
171	9187	44228
172	9239	44166
173	9311	44201
174	9365	44151
175	9425	44127
176	9476	44064
177	9524	43985
178	9576	43921
179	9636	43897
180	9689	43843
181	9736	43758
182	9778	43655
183	9819	43547
184	9860	43441
185	9898	43320
186	9943	43230
187	9981	43113
188	10022	43006
189	10065	42909
190	10109	42821
191	10146	42701
192	10189	42605
193	10232	42513
194	10271	42401
195	10309	42288
196	10354	42206
197	10401	42132
198	10451	42069
199	10504	42017
200	10546	41922
201	10594	41853
202	10634	41750
203	10674	41652
204	10716	41557
205	10756	41459
206	10795	41355
207	10842	41285
208	10885	41198
209	10928	41110
210	10967	41010
211	11007	40914
212	11046	40813
213	11090	40735
214	11132	40647
215	11172	40552
216	11208	40444
217	11245	40340
218	11288	40256
219	11331	40174
220	11372	40086
221	11414	40002
222	11454	39910
223	11496	39825
224	11539	39748
225	11598	39721
226	11642	39644
227	11695	39600
228	11742	39533
229	11806	39527
230	11867	39506
231	11912	39433
232	11957	39361
233	11998	39275
234	12039	39193
235	12080	39108
236	12130	39052
237	12168	38958
238	12208	38874
239	12248	38786
240	12293	38716
241	12334	38634
242	12374	38548
243	12415	38468
244	12455	38384
245	12497	38305
246	12533	38209
247	12582	38153
248	12623	38074
249	12665	37995
250	12706	37917
251	12744	37829
252	12796	37782
253	12844	37725
254	12891	37662
255	12926	37567
256	12966	37486
257	13017	37437
258	13081	37427
259	13155	37442
260	13217	37424
261	13267	37372
262	13321	37329
263	13382	37308
264	13449	37302
265	13527	37326
266	13611	37368
267	13671	37342
268	13723	37292
269	13780	37258
270	13835	37219
271	13899	37200
272	13955	37163
273	14012	37127
274	14080	37121
275	14136	37081
276	14187	37030
277	14251	37014
278	14302	36961
279	14349	36899
280	14407	36865
281	14465	36829
282	14519	36786
283	14587	36777
284	14652	36759
285	14745	36811
286	14809	36790
287	14859	36736
288	14915	36695
289	14967	36644
290	15023	36603
291	15089	36586
292	15147	36551
293	15208	36521
294	15269	36492
295	15340	36486
296	15404	36462
297	15471	36445
298	15591	36553
299	15674	36574
300	15723	36514
301	15772	36453
302	15828	36410
303	15891	36383
304	15956	36360
305	16011	36312
306	16062	36257
307	16105	36185
308	16161	36141
309	16207	36075
310	16261	36027
311	16333	36017
312	16385	35963
313	16429	35893
314	16473	35823
315	16516	35751
316	16562	35684
317	16617	35639
318	16666	35579
319	16711	35511
320	16751	35433
321	16796	35366
322	16843	35303
323	16888	35236
324	16930	35163
325	16971	35088
326	17018	35026
327	17061	34955
328	17101	34878
329	17144	34809
330	17184	34731
331	17228	34663
332	17267	34587
333	17304	34504
334	17349	34440
335	17393	34372
336	17440	34311
337	17480	34237
338	17524	34171
339	17575	34116
340	17615	34043
341	17659	33976
342	17712	33927
343	17761	33870
344	17811	33816
345	17861	33761
346	17904	33692
347	17946	33623
348	17993	33563
349	18056	33533
350	18145	33550
351	18270	33634
352	18401	33727
353	18579	33905
354	18658	33901
355	18707	33842
356	18805	33870
357	18854	33812
358	18906	33757
359	18956	33701
360	19004	33639
361	19066	33604
362	19117	33548
363	19172	33498
364	19214	33427
365	19260	33363
366	19308	33304
367	19352	33235
368	19397	33170
369	19445	33110
370	19485	33036
371	19543	32992
372	19595	32938
373	19643	32878
374	19692	32820
375	19750	32777
376	19798	32717
377	19846	32657
378	19901	32608
379	19946	32544
380	19993	32482
381	20034	32411
382	20078	32345
383	20124	32283
384	20164	32211
385	20202	32134
386	20245	32069
387	20285	31995
388	20330	31933
389	20373	31866
390	20416	31799
391	20474	31755
392	20543	31730
393	20597	31681
394	20663	31649
395	20716	31597
396	20775	31555
397	20822	31495
398	20891	31468
399	20944	31417
400	20998	31367
401	21047	31310
402	21095	31250
403	21140	31187
404	21191	31133
405	21240	31075
406	21296	31028
407	21360	30992
408	21423	30956
409	21482	30913
410	21546	30878
411	21611	30843
412	21676	30809
413	21739	30771
414	21804	30736
415	21861	30690
416	21914	30638
417	21965	30584
418	22016	30528
419	22061	30465
420	22107	30403
421	22170	30365
422	22233	30327
423	22296	30289
424	22354	30244
425	22414	30201
426	22469	30152
427	22533	30115
428	22595	30074
429	22649	30023
430	22695	29961
431	22742	29902
432	22790	29843
433	22839	29785
434	22893	29735
435	22950	29687
436	23000	29632
437	23056	29583
438	23108	29530
439	23150	29463
440	23195	29402
441	23248	29350
442	23316	29316
443	23375	29272
444	23434	29226
445	23495	29185
446	23575	29165
447	23640	29128
448	23689	29070
449	23741	29017
450	23791	28961
451	23860	28927
452	23921	28885
453	23974	28833
454	24026	28778
455	24073	28719
456	24126	28667
457	24182	28617
458	24228	28556
459	24280	28503
460	24325	28441
461	24374	28384
462	24423	28326
463	24475	28273
464	24535	28228
465	24597	28186
466	24645	28129
467	24698	28075
468	24749	28021
469	24799	27964
470	24844	27903
471	24898	27852
472	24950	27798
473	25000	27743
474	25049	27685
475	25112	27645
476	25168	27596
477	25214	27535
478	25263	27478
479	25310	27419
480	25362	27365
481	25403	27301
482	25461	27253
483	25514	27201
484	25581	27163
485	25640	27117
486	25685	27056
487	25739	27005
488	25787	26947
489	25846	26900
490	25904	26854
491	25963	26808
492	26031	26770
493	26089	26722
494	26140	26668
495	26188	26611
496	26241	26557
497	26281	26492
498	26327	26433
499	26371	26371
500	26416	26310
501	26476	26265
502	26530	26213
503	26571	26149
504	26618	26090
505	26676	26044
506	26735	25997
507	26792	25949
508	26850	25900
509	26894	25839
510	26938	25779
511	26983	25718
512	27023	25653
513	27070	25595
514	27114	25535
515	27173	25488
516	27233	25442
517	27287	25391
518	27344	25342
519	27390	25283
520	27435	25223
521	27482	25166
522	27534	25112
523	27581	25054
524	27624	24993
525	27664	24929
526	27705	24866
527	27751	24808
528	27792	24745
529	27836	24685
530	27883	24627
531	27930	24570
532	27976	24512
533	28015	24448
534	28072	24399
535	28139	24359
536	28202	24316
537	28256	24264
538	28313	24216
539	28383	24178
540	28462	24148
541	28582	24153
542	28684	24141
543	28745	24095
544	28799	24043
545	28861	23998
546	28913	23945
547	28980	23903
548	29040	23856
549	29093	23803
550	29147	23751
551	29209	23705
552	29271	23660
553	29323	23607
554	29374	23552
555	29436	23506
556	29512	23472
557	29581	23431
558	29646	23388
559	29713	23345
560	29772	23297
561	29827	23246
562	29878	23192
563	29923	23132
564	29971	23075
565	30034	23029
566	30087	22976
567	30160	22939
568	30216	22888
569	30278	22841
570	30350	22802
571	30399	22746
572	30453	22694
573	30530	22658
574	30587	22608
575	30644	22557
576	30700	22506
577	30752	22452
578	30805	22399
579	30854	22342
580	30904	22287
581	30960	22236
582	31012	22182
583	31061	22125
584	31120	22076
585	31167	22019
586	31218	21964
587	31272	21912
588	31323	21857
589	31387	21811
590	31490	21792
591	31541	21737
592	31595	21685
593	31660	21639
594	31733	21600
595	31860	21596
596	31993	21597
597	32053	21547
598	32106	21493
599	32161	21441
600	32208	21383
601	32256	21325
602	32322	21280
603	32367	21221
604	32423	21168
605	32523	21145
606	32588	21099
607	32637	21042
608	32689	20988
609	32734	20928
610	32774	20866
611	32820	20808
612	32866	20749
613	32918	20694
614	32970	20639
615	33020	20584
616	33070	20528
617	33106	20463
618	33149	20403
619	33186	20340
620	33229	20280
621	33270	20218
622	33315	20160
623	33352	20097
624	33389	20033
625	33427	19970
626	33467	19909
627	33505	19846
628	33547	19787
629	33608	19738
630	33711	19713
631	33801	19681
632	33841	19620
633	33885	19561
634	33927	19501
635	33969	19441
636	34012	19382
637	34061	19326
638	34109	19269
639	34157	19213
640	34209	19159
641	34248	19098
642	34290	19038
643	34329	18977
644	34371	18917
645	34407	18854
646	34447	18794
647	34495	18738
648	34553	18687
649	34608	18635
650	34655	18578
651	34705	18523
652	34751	18466
653	34796	18408
654	34843	18352
655	34890	18296
656	34939	18241
657	34983	18182
658	35025	18123
659	35067	18065
660	35115	18009
661	35159	17951
662	35204	17894
663	35248	17836
664	35367	17816
665	35440	17773
666	35492	17719
667	35532	17659
668	35571	17599
669	35614	17541
670	35651	17480
671	35692	17421
672	35735	17363
673	35780	17306
674	35824	17248
675	35871	17193
676	35909	17132
677	35946	17071
678	35979	17009
679	36014	16948
680	36044	16884
681	36073	16820
682	36107	16758
683	36144	16698
684	36175	16635
685	36210	16574
686	36245	16513
687	36282	16453
688	36314	16391
689	36345	16328
690	36378	16267
691	36417	16208
692	36450	16147
693	36487	16088
694	36540	16035
695	36596	15984
696	36638	15927
697	36700	15878
698	36763	15831
699	36800	15771
700	36834	15710
701	36870	15651
702	36906	15592
703	36944	15533
704	36978	15473
705	37013	15413
706	37047	15353
707	37080	15293
708	37114	15233
709	37149	15173
710	37181	15113
711	37218	15054
712	37254	14996
713	37287	14935
714	37323	14877
715	37357	14817
716	37392	14758
717	37424	14698
718	37457	14639
719	37496	14581
720	37529	14522
721	37561	14462
722	37591	14402
723	37625	14343
724	37657	14284
725	37690	14224
726	37722	14165
727	37759	14108
728	37824	14061
729	37868	14006
730	37900	13947
731	37935	13888
732	38029	13852
733	38069	13796
734	38136	13749
735	38191	13699
736	38257	13652
737	38319	13603
738	38398	13561
739	38458	13512
740	38520	13464
741	38605	13423
742	38664	13373
743	38724	13324
744	38778	13273
745	38828	13220
746	38874	13166
747	38937	13118
748	39070	13093
749	39218	13072
750	39317	13036
751	39416	12999
752	39493	12954
753	39574	12911
754	39656	12868
755	39730	12823
756	39790	12773
757	39860	12725
758	39924	12676
759	39986	12627
760	40032	12572
761	40091	12521
762	40154	12472
763	40214	12422
764	40269	12370
765	40339	12322
766	40391	12270
767	40442	12216
768	40503	12166
769	40560	12115
770	40625	12066
771	40696	12019
772	40781	11975
773	40846	11926
774	40900	11874
775	40956	11822
776	41019	11772
777	41081	11722
778	41156	11676
779	41217	11625
780	41287	11577
781	41369	11532
782	41422	11479
783	41482	11428
